game_num,winner_strategy,total_turns,winner_hp,avg_gold_per_player,total_damage,total_kills,combo_points,synergy_points,rare_cards_played,copies_triggered,eliminations
136,tempo,19,150,88.25,472,28,523,242,18,10,"rare_hunter,builder,warrior,tempo"
137,economist,30,38,182.25,641,63,960,366,23,18,"builder,random,rare_hunter,economist"
138,evolver,23,94,105.75,560,45,752,308,17,19,"tempo,builder,rare_hunter,evolver"
139,rare_hunter,26,88,140.25,556,51,648,322,17,15,"balancer,economist,warrior,rare_hunter"
140,tempo,22,150,123.5,507,35,629,291,19,11,"warrior,balancer,economist,tempo"
141,builder,22,142,119.75,503,46,561,299,12,7,"warrior,rare_hunter,balancer,builder"
142,tempo,24,132,97.25,511,43,1013,321,12,8,"rare_hunter,balancer,builder,tempo"
143,tempo,21,150,99.5,478,31,569,283,23,15,"evolver,builder,rare_hunter,tempo"
144,economist,26,56,147.0,597,53,761,324,20,15,"balancer,tempo,warrior,economist"
145,builder,22,92,99.75,561,40,630,257,11,11,"warrior,tempo,random,builder"
146,economist,30,34,169.75,577,57,803,356,29,17,"balancer,tempo,rare_hunter,economist"
147,tempo,17,150,79.5,483,28,446,211,13,6,"warrior,builder,rare_hunter,tempo"
148,economist,25,94,140.0,580,46,687,335,16,15,"evolver,random,balancer,economist"
149,tempo,21,139,95.75,595,40,655,285,15,12,"random,warrior,rare_hunter,tempo"
150,balancer,32,2,146.0,673,67,883,370,30,23,"random,evolver,tempo,balancer"
151,tempo,28,69,137.25,567,53,843,372,19,25,"random,balancer,rare_hunter,tempo"
152,economist,24,109,133.25,550,45,678,316,15,15,"random,balancer,warrior,economist"
153,rare_hunter,29,69,108.75,572,51,935,323,19,15,"balancer,builder,random,rare_hunter"
154,warrior,28,126,142.0,535,53,817,329,17,12,"random,economist,balancer,warrior"
155,economist,30,15,163.5,620,56,962,342,23,25,"warrior,balancer,evolver,economist"
156,tempo,21,150,101.75,572,37,530,251,27,9,"rare_hunter,random,evolver,tempo"
157,evolver,26,94,131.25,535,53,784,342,20,17,"rare_hunter,economist,random,evolver"
158,economist,32,69,176.25,641,66,853,358,20,21,"warrior,balancer,random,economist"
159,tempo,26,105,122.25,556,49,955,332,15,17,"builder,balancer,warrior,tempo"
160,rare_hunter,31,65,132.5,567,65,1015,348,17,12,"tempo,random,builder,rare_hunter"
161,tempo,21,137,119.5,482,34,828,286,21,10,"economist,rare_hunter,random,tempo"
162,tempo,20,150,84.75,509,35,588,260,17,5,"balancer,rare_hunter,warrior,tempo"
163,evolver,28,14,155.0,627,55,869,334,32,15,"tempo,economist,builder,evolver"
164,tempo,26,48,122.25,604,53,931,338,21,18,"evolver,builder,balancer,tempo"
165,builder,25,87,112.0,559,46,770,282,11,15,"warrior,random,balancer,builder"
166,rare_hunter,31,66,148.0,575,57,770,337,16,14,"random,evolver,balancer,rare_hunter"
167,warrior,27,79,145.25,571,57,990,347,14,17,"rare_hunter,builder,random,warrior"
168,rare_hunter,20,135,102.0,477,29,577,260,14,11,"warrior,economist,evolver,rare_hunter"
169,balancer,30,6,151.25,629,63,770,371,27,26,"builder,evolver,rare_hunter,balancer"
170,tempo,17,150,83.25,491,22,469,210,12,7,"rare_hunter,random,economist,tempo"
171,tempo,20,150,97.75,516,30,455,237,17,13,"evolver,random,economist,tempo"
172,rare_hunter,31,14,146.0,637,63,1026,376,16,17,"balancer,builder,random,rare_hunter"
173,tempo,21,135,116.5,523,33,761,283,18,8,"warrior,builder,economist,tempo"
174,warrior,28,85,124.75,534,60,845,362,16,19,"random,evolver,builder,warrior"
175,balancer,31,8,142.0,621,58,885,369,30,22,"rare_hunter,warrior,evolver,balancer"
176,warrior,24,113,116.25,532,43,810,315,16,14,"builder,rare_hunter,balancer,warrior"
177,tempo,20,150,84.0,517,34,713,268,12,11,"warrior,builder,random,tempo"
178,economist,30,26,156.5,638,66,684,346,23,16,"balancer,rare_hunter,tempo,economist"
179,economist,29,39,154.5,587,60,856,370,21,17,"rare_hunter,warrior,evolver,economist"
180,tempo,19,150,105.25,517,22,641,244,15,11,"builder,evolver,economist,tempo"
181,rare_hunter,32,35,127.75,572,63,921,378,21,19,"balancer,random,builder,rare_hunter"
182,tempo,22,138,91.5,554,34,780,267,14,11,"random,rare_hunter,builder,tempo"
183,tempo,23,150,110.5,515,40,545,275,23,11,"warrior,evolver,balancer,tempo"
184,tempo,25,150,118.75,485,42,750,299,20,8,"balancer,warrior,random,tempo"
185,rare_hunter,23,99,92.0,529,44,597,282,12,10,"tempo,warrior,builder,rare_hunter"
186,tempo,19,150,109.25,497,33,544,253,22,6,"economist,rare_hunter,builder,tempo"
187,evolver,27,44,185.25,601,57,837,370,25,19,"builder,balancer,economist,evolver"
188,tempo,22,150,122.75,472,44,796,298,12,10,"random,builder,warrior,tempo"
189,tempo,19,150,104.75,473,27,514,240,22,11,"evolver,rare_hunter,economist,tempo"
190,tempo,18,150,86.0,469,23,448,228,15,8,"evolver,random,balancer,tempo"
191,evolver,30,70,120.0,604,52,1005,325,21,18,"warrior,builder,balancer,evolver"
192,builder,22,135,84.75,538,42,674,291,11,9,"warrior,rare_hunter,random,builder"
193,tempo,26,105,114.0,544,53,737,348,23,12,"rare_hunter,warrior,balancer,tempo"
194,balancer,25,126,127.25,554,50,954,338,18,11,"random,warrior,economist,balancer"
195,tempo,22,123,100.0,508,38,740,281,21,14,"builder,rare_hunter,evolver,tempo"
196,economist,30,7,189.0,622,63,947,347,21,20,"random,warrior,builder,economist"
197,tempo,20,150,101.5,463,33,597,258,19,6,"economist,builder,warrior,tempo"
198,warrior,31,48,129.25,614,61,1229,372,19,20,"tempo,balancer,builder,warrior"
199,tempo,22,138,95.0,493,38,750,292,13,17,"builder,warrior,evolver,tempo"
